match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,0.1,Paarl Royals,MI Cape Town,WJ Lubbe,JC Buttler,GF Linde,1,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,0.2,Paarl Royals,MI Cape Town,JC Buttler,WJ Lubbe,GF Linde,0,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,0.3,Paarl Royals,MI Cape Town,JC Buttler,WJ Lubbe,GF Linde,4,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,0.4,Paarl Royals,MI Cape Town,JC Buttler,WJ Lubbe,GF Linde,1,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,0.5,Paarl Royals,MI Cape Town,WJ Lubbe,JC Buttler,GF Linde,0,1,1,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,0.6,Paarl Royals,MI Cape Town,WJ Lubbe,JC Buttler,GF Linde,1,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,0.7,Paarl Royals,MI Cape Town,JC Buttler,WJ Lubbe,GF Linde,0,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,1.1,Paarl Royals,MI Cape Town,WJ Lubbe,JC Buttler,SM Curran,0,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,1.2,Paarl Royals,MI Cape Town,WJ Lubbe,JC Buttler,SM Curran,0,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,1.3,Paarl Royals,MI Cape Town,WJ Lubbe,JC Buttler,SM Curran,1,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,1.4,Paarl Royals,MI Cape Town,JC Buttler,WJ Lubbe,SM Curran,0,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,1.5,Paarl Royals,MI Cape Town,JC Buttler,WJ Lubbe,SM Curran,0,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,1.6,Paarl Royals,MI Cape Town,JC Buttler,WJ Lubbe,SM Curran,0,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,2.1,Paarl Royals,MI Cape Town,WJ Lubbe,JC Buttler,JC Archer,0,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,2.2,Paarl Royals,MI Cape Town,WJ Lubbe,JC Buttler,JC Archer,0,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,2.3,Paarl Royals,MI Cape Town,WJ Lubbe,JC Buttler,JC Archer,0,0,,,,,,caught,WJ Lubbe,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,2.4,Paarl Royals,MI Cape Town,JJ Roy,JC Buttler,JC Archer,0,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,2.5,Paarl Royals,MI Cape Town,JJ Roy,JC Buttler,JC Archer,0,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,2.6,Paarl Royals,MI Cape Town,JJ Roy,JC Buttler,JC Archer,0,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,3.1,Paarl Royals,MI Cape Town,JC Buttler,JJ Roy,GF Linde,4,0,,,,,,,,,
1343941,2022/23,2023-01-10,"Newlands, Cape Town",1,3.2,Paarl Royals,MI Cape Town,JC Buttler,JJ Roy,GF Linde,0,0,,,,,,,,,
